Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,291.20,13,22.4,6.5625000000000115
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,"2,875",125,23.0,6.521739130434782
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,276,12,23.0,6.4782608695652115
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,449",63,23.0,6.4782608695652115
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,138,6,23.0,6.4782608695652115
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"2,300",100,23.0,6.4782608695652115
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,230,10,23.0,6.4782608695652115
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,230,10,23.0,6.434782608695653
Masterworks 009,Gunther Forg,Untitled,26.46,32.3%,03/31/22,373.50,15,24.9,6.265060240963866
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,140.75,5,28.15,6.252220248667857
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,135,6,22.5,6.088888888888893
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"3,069",150,20.46,6.060606060606053
Masterworks 009,Gunther Forg,Untitled,26.46,32.3%,03/31/22,750,30,25.0,5.840000000000003
Masterworks 039,Mark Bradford,Value 47,23.26,16.3%,03/31/22,440,20,22.0,5.727272727272735
Masterworks 039,Mark Bradford,Value 47,23.26,16.3%,03/31/22,110,5,22.0,5.727272727272735
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,"5,696",178,32.0,5.53125000000001
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"1,030",50,20.6,5.339805825242708
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,382.50,15,25.5,5.254901960784313
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,684,30,22.8,5.175438596491227
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,"4,375",125,35.0,5.028571428571423
